PE,DEN,AC,GR,CNL,classification
0.549612021,0.760541055,0.11762866,0.612894884,0.351354067,3
0.765049338,0.583324527,0.049552337,0.993473914,0.280609426,3
0.80814651,0.399661841,0.246451255,0.512321719,0.512963957,3
0.846514434,0.665962168,0.154975928,0.55936392,0.384747081,3
0.856680235,0.300116242,0.276518353,0.367007011,0.615711073,3
0.832895312,0.502272007,0.174331741,0.634213964,0.323476989,3
0.884181986,0.545175948,0.140348181,0.792996721,0.158280234,3
0.847263347,0.66532812,0.156879558,0.71243102,0.368472558,3
0.868863941,0.565676847,0.104947684,0.952891152,0.295196012,3
0.757560208,0.647152066,0.094406268,0.95095572,0.295141757,3
0.831882892,0.693331924,0.145805611,0.669680894,0.394205555,3
0.83005915,0.311529113,0.288518499,0.375004665,0.641373739,3
0.84163263,0.49719962,0.163422273,0.670856549,0.26813276,3
0.608249138,0.747014689,0.126182859,0.783850071,0.345645224,3
0.891532429,0.559230688,0.111429731,0.676476234,0.107099582,3
0.45545701,0.792560499,0.112010796,0.660203674,0.305894315,3
0.821370372,0.527211244,0.217114869,0.584804457,0.487234979,3
0.813791095,0.401986685,0.262189902,0.489778998,0.564431959,3
0.869460297,0.520553736,0.068649299,0.985246994,0.286736234,3
0.88687946,0.528056642,0.143431467,0.838010184,0.176925906,3
0.906815802,0.199302547,0.970832137,0.057727067,0.906950481,2
0.888425826,0.635739195,0.235002514,0.088848604,0.853724211,2
0.942950856,0.390573814,0.23761259,0.281890645,0.534149571,2
0.987615197,0.008559653,0.363346505,0.010764842,0.926448159,2
0.973129278,0.068899926,0.370030779,0.03665858,0.882718543,2
0.896795623,0.602663003,0.30607584,0.158409533,0.67900468,2
0.897149276,0.590827433,0.278059323,0.104468023,0.750358184,2
0.928000333,0.37440558,0.516708662,0.179573992,0.690418347,2
0.905706301,0.59410335,0.309191483,0.210530244,0.593914586,2
0.950107136,0.287646624,0.131137419,0.31922636,0.505412449,2
0.907613256,0.610271584,0.260975192,0.212801578,0.547423988,2
0.992157216,0.0493501,0.129626109,0.122785316,0.798868279,2
0.953886373,0.229208496,0.388157052,0.054493349,0.751899431,2
0.912189947,0.255732854,0.864048232,0.07046733,0.836876996,2
0.912176078,0.305822678,0.691370708,0.074930021,0.824938863,2
0.90940926,0.617563141,0.167322556,0.190506785,0.464451853,2
0.997108364,0.000739723,0.252323924,0.024742076,0.955313886,2
0.924047736,0.383493607,0.202953592,0.093513903,0.881444552,2
0.911135921,0.554581,0.33352073,0.060904801,0.757562057,2
0.935655888,0.492232907,0.232697127,0.250369225,0.496950662,2
0.932861333,0.515058649,0.163326552,0.220809896,0.455965952,2
0.89922959,0.593997675,0.320483835,0.069694223,0.816388659,2
0.902107358,0.624643348,0.277118293,0.203726907,0.55189702,2
0.962977345,0.131882067,0.388649138,0.039735011,0.838044485,2
0.934060981,0.505864948,0.212479828,0.244682893,0.491288036,2
0.898071549,0.597696291,0.301508208,0.073471782,0.819804722,2
0.972123793,0.252879636,0.15512288,0.315949988,0.815124716,2
0.910525695,0.550142661,0.325850937,0.128818213,0.651214008,2
0.981894334,0.045123111,0.30015194,0.049809389,0.883646908,2
0.889930587,0.628976012,0.25512679,0.070030124,0.846711236,2
0.927202879,0.393215682,0.53966007,0.155834289,0.711338715,2
0.901212823,0.590616084,0.398338504,0.061224707,0.810500976,2
0.935510266,0.462961006,0.229523513,0.197731332,0.671214048,2
0.917543288,0.314382331,0.791667172,0.117048332,0.770233639,2
0.942354499,0.369967241,0.206777029,0.331849324,0.599617401,2
0.924935337,0.340166966,0.600987407,0.173671723,0.710022526,2
0.908909985,0.217584276,0.930869401,0.055578364,0.871714803,2
0.897676289,0.600338159,0.310763461,0.07313588,0.820588407,2
0.945793952,0.310261017,0.168120678,0.406819333,0.637865242,2
0.950585608,0.358660044,0.16483112,0.167286929,0.715992597,2
0.986734531,0.044383388,0.172758416,0.092767455,0.830914962,2
0.888044436,0.638592413,0.221162104,0.098363147,0.849827891,2
0.924110146,0.562717954,0.109069069,0.184337928,0.425872452,2
